permision_delivery_date,n/o,id,march_route_name,company_name,company_name_external,border_crossing,border_crossing_alternative,march_route_time_direct,march_route_time_return,march_route_regularity,license_terms,destionation_country_name,destionation_country_code,march_route_status
,3,MD3,"АК АЕРОПОРТ БОРИСПІЛЬ (вул. Бориспільська, 7) - ЧАДР-ЛУНГА",ФОП Гергі Є.М.,"S.R.L. ""SARVALTEH AUTO""",Табаки,16:00,16:00,,Щоденно,2020-02-08 00:00:00,Молдова,MD,True
,8,MD8,"Балта АС (вул. Уварова, 38а) - Дубосари","ПП Фаворіт 65005, м. Одеса, вул. Бугаївська, 21.
 Ліцензія серії АВ № 610989","ОАО ""Дубоссарское автотранспортное предприятие №3""",Платоново,,,,,2020-06-07 00:00:00,Молдова,MD,True
05.06.2018,11,RU11,Бахмут-Москва,"ТОВ""Форум Авто""|ФОП""Мелкумян Ю.О.""","ООО""Газавторемонт""",Гоптівка,Плетенівка,16:50,16:50,Щоденно,2019-07-20 00:00:00,Росія,RU,True
,12,RU12,"Бахмут (АС вул. Космонавтів,5)-Москва (Новоясенівська)","ТОВ ""СЕВЕР-АВТО""",без паритету,Плетенівка,,,,,2019-02-28 00:00:00,Росія,RU,True
,13,RU13,Бахму - Москва ,ФОП Базілєвський В.О.,"ООО ""Горизон-Тур""",Танюшівка,,19:30,15:30,Щоденно,2019-01-07 00:00:00,Росія,RU,True
,14,RU14,"Бахмут (АС, вул. Космонавтів,5)-Москва","ТзОВ Буковина Транс 
 м. Рубіжне, Луганська обл., вул. Померанчука, 15Е",без паритету,Танюшівка,,,,,2019-01-07 00:00:00,Росія,RU,True
26.10.2017,16,RU16,"Бахмут (вул. Космонавтів, 5) - Вороніж",ФОП Сніпич О.А.,ИП Леоненко А.В.,Танюшівка,,13:25,13:30,Щоденно,2020-10-25 00:00:00,Росія,RU,True
02.07.2016,17,RU17,Бахмут -Краснодар,"ТзОВ Буковина Транс 
 ",без паритету,Просяне,,20:00,20:00,Щоденно,2019-01-07 00:00:00,Росія,RU,True
02.07.2016,18,RU18,Бахмут -Санкт-Петербург,"ТзОВ Буковина Транс 
 м. Рубіжне, Луганська обл., вул. Померанчука, 15Е",без паритету,Танюшівка,,33:00,33:00,"Вівторок, п'ятниця, неділя",2019-01-07 00:00:00,Росія,RU,True
,20,RU20,"Бахмут(зал.вокз. Станція Бахмут2, вул. Космонавтів,4)-Москва","ПП ""ОсипаС.М.""
 84301, м. Краматорськ, Донецька обл., вул. Двірцева, 38/241
 ФОП Мелкумян Ю.О.",без паритету,Плетенівка,,,,,2019-07-20 00:00:00,Росія,RU,True
